Number of Cells,Area,Perimeter,Width,Height
1,656,108.08326029777527,18.642845153808594,42.9738883972168
2,340,76.04163014888763,13.497611999511719,30.58501434326172
3,643,106.18376553058624,24.0,36.0
4,292,75.55634891986847,12.0,29.0
5,243,61.21320307254791,16.0,19.0
6,502,87.94112491607666,18.384777069091797,31.961227416992188
7,401,74.87005722522736,17.0,26.0
8,488,87.69848430156708,24.0,26.0
9,671,116.5269113779068,16.669872283935547,46.283409118652344
10,741,125.88224983215332,18.09271812438965,51.15696334838867
11,350,77.69848430156708,17.0,25.0
12,445,92.18376553058624,14.552947044372559,37.12055969238281
13,707,123.25483322143555,19.722335815429688,49.0485954284668
14,332,78.62741661071777,20.0,23.0
15,630,124.91168737411499,23.0,44.0
16,258,60.72792184352875,14.0,19.0
17,604,102.91168737411499,18.215152740478516,41.87391662597656
18,457,97.5979790687561,15.271211624145508,38.75617980957031
19,278,62.72792184352875,12.0,22.0
20,356,72.97056245803833,15.0,24.0
21,216,56.62741661071777,11.822710037231445,22.126909255981445
22,412,86.5269113779068,15.75979995727539,34.91877365112305
23,531,96.28427076339722,20.0,34.0
24,353,77.55634891986847,13.37032413482666,28.56764793395996
25,377,90.5269113779068,17.62377166748047,30.98456573486328
26,236,58.72792184352875,11.0,21.0
27,544,109.01219260692596,19.57221221923828,42.97517013549805
28,380,82.76955199241638,15.556347846984863,32.526912689208984
29,480,104.66904675960541,16.863792419433594,42.71723175048828
30,353,76.18376553058624,14.142135620117188,30.405588150024414
31,307,70.87005722522736,15.0,25.0
32,218,61.31370830535889,10.0,22.0
33,436,91.5979790687561,15.084202766418457,38.17658996582031
34,231,55.21320307254791,15.0,17.0
35,638,112.91168737411499,21.81484031677246,42.8653678894043
36,543,120.42640614509583,22.55268096923828,44.802825927734375
37,244,64.62741661071777,11.9735746383667,26.032434463500977
38,235,55.55634891986847,13.0,18.0
39,262,66.14213538169861,13.0,23.0
40,125,51.899494767189026,10.0,18.0
41,552,90.87005722522736,21.0,29.0
42,327,70.38477599620819,18.0,21.0
43,421,91.69848430156708,15.420706748962402,34.0540657043457
44,297,66.28427076339722,14.142135620117188,25.45584487915039
45,299,63.455843687057495,18.0,19.0
46,277,60.97056245803833,14.0,20.0
47,385,78.5269113779068,16.200002670288086,31.200002670288086
48,316,75.55634891986847,11.0,29.0
49,164,50.72792184352875,9.0,19.0
50,273,62.870057225227356,12.727922439575195,26.16295051574707
51,286,70.97056245803833,14.0,25.0
52,343,72.28427076339722,15.548018455505371,27.424976348876953
53,285,65.21320307254791,15.0,22.0
54,611,115.25483322143555,16.033571243286133,47.49338150024414
55,337,77.4558436870575,13.0,28.0
56,272,60.38477599620819,15.0,19.0
57,55,25.41421353816986,6.0,7.0
